店家代號,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月
1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,4,0,0,0,2,1,0,7,0,0,0,0,0,0
3,8,10,17,10,20,10,15,0,10,10,10,10,33,30,18,21,0,10,10,10,10
4,20,0,0,0,20,0,0,20,0,0,10,0,20,0,20,20,0,10,0,0,10
5,0,5,0,5,10,10,0,10,0,0,0,0,10,10,5,0,10,0,0,5,10
6,20,0,0,20,0,20,0,20,0,10,0,10,20,10,0,70,0,0,0,0,0
7,0,10,5,60,0,0,0,25,0,20,40,10,10,40,20,40,0,0,40,0,0
8,10,0,10,0,10,0,0,10,0,0,10,0,10,10,0,0,0,10,0,10,0
9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,6
10,0,0,5,0,0,8,0,0,1,0,0,0,12,10,20,0,0,0,0,0,0
11,0,0,1,0,2,0,0,2,0,2,0,0,0,0,2,2,0,0,2,0,0
12,0,15,0,10,0,0,0,0,0,0,5,0,8,0,7,0,0,10,0,0,0
14,0,0,15,0,0,0,0,0,0,0,20,0,0,5,0,0,6,0,0,5,0
15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
16,0,10,0,40,10,5,0,0,0,15,0,0,10,10,15,0,0,10,10,0,10
17,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
19,0,2,6,0,6,0,5,3,0,0,0,0,5,7,0,2,4,6,2,0,0
20,0,2,2,13,0,0,0,0,0,3,0,0,0,0,0,4,0,7,0,0,0
22,0,0,0,24,0,0,0,0,0,0,6,0,12,0,10,0,0,5,0,0,0
23,5,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0
24,0,14,0,10,0,0,10,0,5,0,1,0,12,0,15,0,0,1,0,10,2
25,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,3,0,5,5
26,0,20,0,15,0,0,0,0,0,0,10,0,10,5,20,0,5,0,15,0,0
27,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1
28,25,10,20,80,0,0,0,0,0,0,0,30,10,20,30,110,0,0,5,40,25
29,10,0,10,20,0,0,0,10,0,0,0,0,10,0,0,0,10,0,0,0,0
30,0,0,20,20,0,0,0,0,0,0,0,6,10,10,20,0,0,0,0,0,0
32,0,0,0,0,0,0,0,2,0,0,2,3,0,0,9,0,3,0,0,0,2
33,0,0,5,0,5,0,5,0,5,5,0,0,5,0,10,0,0,0,0,5,10
34,0,6,0,13,0,0,0,0,10,2,4,0,0,3,0,0,7,0,0,2,0
35,0,1,0,0,0,2,0,0,2,1,1,2,0,1,0,1,3,3,1,2,0
36,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,10
38,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
39,15,0,5,10,0,0,0,10,0,0,3,10,0,10,10,0,0,4,5,10,0
40,3,0,3,10,0,0,1,3,0,0,0,0,3,10,2,0,0,0,0,0,0
41,4,0,5,10,5,0,5,0,0,0,11,5,10,8,8,0,3,0,9,0,6
